scholarship_program_name,promoter,funds_in_rupiah,gpa,religion,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,total_awardee,essay,SMP-SMA,SMA,Sarjana,SMP-SMA-Sarjana,SMA-Sarjana,Sarjana-Fresh Graduate,Fresh Graduate,SMP-SMA-Sarjana-Fresh Graduate,education_level
Dr. Rajesh Aggarwal Scholarship for Scientific Studies,The Aggarwal Family,0.09090909090909091,3.0,3,1,2,0,0,0,3,2,1,1,0,0,0,0,0,0,0,3
Frank W. Steward Memorial Scholarship,Dr. Franshea Vandross,0.015151515151515152,3.0,3,1,2,0,1,0,3,0,1,0,1,0,0,0,0,0,0,1
Douglass M. Hamilton Memorial Scholarship,Michael Hamilton,0.45454545454545453,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Anthony McPherson Memorial Automotive Scholarship,Denese McPherson,0.05454545454545454,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
GIST College Sports Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Harvey and Geneva Mabry Second Time Around Scholarship,April Mabry,0.015151515151515152,0.0,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Macklin-McDowell Scholarship,Cheryl Berry,0.18787878787878787,0.0,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Humanize LLC Gives in Honor of Shirley Kelley Scholarship,Humanize LLC,0.01818181818181818,0.0,3,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,1,5
Gabriel Martin Memorial Annual Scholarship,Robbie and Ginger Martin,0.030303030303030304,0.0,3,0,2,0,0,0,3,4,1,1,0,0,0,0,0,0,0,3
Hester Richardson Powell Memorial Service Scholarship,Angela R. Powell,0.07575757575757576,2.7,3,1,1,0,0,0,3,4,1,0,1,0,0,0,0,0,0,1
Integrity within Construction Scholarship,Renier Construction,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Future of Service within the Automotive Industry Scholarship,Renier Construction,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Harry & Marry Sheaffer Scholarship,CM Global LLC,0.030303030303030304,2.8,3,1,2,0,0,1,3,1,1,0,0,1,0,0,0,0,0,6
Iftikhar Kamil Madni Science and Engineering Memorial Scholarship,Madni,0.045454545454545456,3.75,3,1,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Alief Imagine Good Apple Scholarship,Anuj,0.16760606060606062,2.5,3,1,2,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1
A Courageous Spirit No-Essay Scholarship,Calvin Rosser,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
A Daring Path No-Essay Scholarship,Calvin Rosser,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
Isaac Yunhu Lee Memorial Arts Scholarship,Lee Family,0.7575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Godi Arts Scholarship,Mark Godi,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Cody Cochlin Memorial Scholarship,Jaedan Ford,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Rivera-Gulley First-Gen Scholarship Award,Rachel Gulley,0.030303030303030304,0.0,3,0,2,0,0,1,3,0,1,0,0,1,0,0,0,0,0,6
Ethan To Scholarship,Justin To & Ann Tran,0.06060606060606061,3.5,3,1,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,7
"Hilliard L. ""Tack"" Gibbs Jr. Memorial Scholarship",Bertha Gibbs,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Mental Health Importance Scholarship,Pettable,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Our Destiny Our Future Scholarship,OUR DESTINY OUR FUTURE FOUNDATION,0.09090909090909091,0.0,3,0,2,0,1,0,3,2,1,0,0,0,1,0,0,0,0,4
Maverick Scholarship,Carter McKinney Family,0.06060606060606061,3.0,3,1,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
McDuffie Software Engineering Scholarship,McDuffie,0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Dark Golden Memorial Scholarship,Shari Golden,0.02878787878787879,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Carole H. Beveridge Memorial Scholarship,Summer Cooke,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Barbara Cain Literary Scholarship,Radtke Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Scholarship for Women Golfers,PrimePutt,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Lost Dream Awaken Scholarship,Benjamin Bozworth,0.09090909090909091,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,0,1,0,0,7
Calvin C. Donelson Memorial Scholarship,Calvin C. Donelson Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Henry Respert Alzheimer's and Dementia Awareness Scholarship,Shawn Respert,0.18181818181818182,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
Charles Pulling Sr. Memorial Scholarship,Carrie Mochan,0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Eco-Warrior Scholarship,HeySunday,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
ALS Family Scholarship,ALS Family Scholarship,0.30303030303030304,0.0,3,0,2,0,0,0,3,4,1,0,0,0,0,0,0,0,1,5
Carl's Music Matters Scholarship,Carl Adams,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Mark Neiswander 110 Memorial Scholarship,The Neiswander Family,0.15151515151515152,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2
Colby R. Eggleston and Kyla Lee Entrepreneurship Award,Colby Eggleston,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Will Johnson Scholarship,Open Doors TN,0.06060606060606061,0.0,3,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,1,5
Jorian Kuran Harris (Shug) Helping Heart Foundation Scholarship,Carleen Junior,0.019696969696969695,2.5,3,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Sara Jane Memorial Scholarship,Whitt Family,0.06060606060606061,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2
Stacy T. Mosley Jr. Educational Scholarship,Stephen Mosley,0.030303030303030304,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
DV Awareness Scholarship in Memory,Melissa Gillispie,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Environmental Kindness Scholarship,Melissa Myers,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
McClendon Leadership Award,Agodtis McClendon,0.030303030303030304,0.0,3,0,2,0,1,0,3,1,1,0,0,0,0,1,0,0,0,2
John F. Puffer Sr. Smile Scholarship,Puffer Family,0.030303030303030304,2.8,3,1,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Charles B. Barzelton Memorial Scholarship,Zennetta Brazelton,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
HBCU STEM Scholarship,Chrispin Rainford,0.15151515151515152,3.0,3,1,2,0,0,1,3,0,1,0,0,1,0,0,0,0,0,6
Julie Madison Memorial Art Scholarship,The Mills & Madison Family,0.03442424242424243,0.0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5
G.H. DePriest Memorial Scholarship,Booklt4Life Children's Book & Social Club,0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Andrea Claire Matason Memorial Scholarship,The Matason Family,0.030303030303030304,0.0,3,0,2,0,1,0,3,1,1,0,0,0,0,1,0,0,0,2
Lillian's & Ruby's Way Scholarship,Lillian's & Ruby's Way LLC,0.022727272727272728,0.0,3,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
I Can and I Will Scholarship,Kosmond Russell,0.030303030303030304,3.5,3,1,2,0,0,1,3,0,1,0,0,0,0,1,0,0,0,2
Anastasiya Y. Hardie Women in Engineering Memorial Scholarship,Brian Hardie,0.015151515151515152,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Lulu Scholarship for Music Vocation,Guin Records LLC,0.03333333333333333,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Private (PVT) Henry Walker Minority Scholarship,Steven Franklin,0.030303030303030304,2.8,3,1,2,1,1,0,3,0,1,0,0,1,0,0,0,0,0,6
Mad Grad Scholarship,MAD BOX Studios LLC,0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Caleb G. Banegas Scholarship,Caleb Banegas,0.015151515151515152,0.0,3,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5
Rose Ifebigh Memorial Scholarship,Adaora Ifebigh,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Chadwick D. McNab Memorial Scholarship,DraughtLab LLC,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Zachary Scheppat Memorial Science Scholarship,Scheppat,0.15151515151515152,0.0,3,0,2,0,1,0,3,1,1,0,1,0,0,0,0,0,0,1
Pablo M. Ortiz Memorial Scholarship,Chelsie-Jean Fernandez,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Major La-Goge W. Graham Memorial Scholarship,Graham Family,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Minority Women in STEM Financial Need Scholarship,Donald Huschle,0.30303030303030304,0.0,3,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Johnson Dale Women's Empowerment Scholarship,Johnson,0.030303030303030304,0.0,3,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Connie Konatsotis Scholarship,Connie Konatsotis Scholarship Fund,0.06060606060606061,0.0,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Hackworth-Rhodes STEM Scholarship,NEKIA HACKWORTH,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Maxwell Tuan Nguyen Memorial Scholarship,Nguyen,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Pheonix Opportunity Award,Long John Nguyen,0.015151515151515152,0.0,3,0,2,0,0,1,3,0,1,0,0,0,0,1,0,0,0,2
Writer for Life Scholarship,KEITH ARNOLD,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Justin Moeller Memorial Scholarship,WorkStream Technology,0.030303030303030304,0.0,3,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Olympians Academy Leadership Wings Scholarship,The Olympians Academy LLC,0.09090909090909091,3.0,3,1,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
Ron & Janell Lunan Black Girls in STEM Scholarship,Ron & Janell Lunan,0.030303030303030304,0.0,3,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,3
Future of Aviation Scholarship,Thomas Mannion,0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Headbang For Science,Headbang For Science,1.0,3.0,3,1,2,0,0,0,3,2,1,0,0,0,0,0,0,0,1,5
Ella Hall-Dillon Scholarship,Letta Belle,0.10515151515151515,3.0,3,1,2,0,0,1,3,2,1,0,0,0,0,1,0,0,0,2
Rosalie A. DuPont (Young) Nursing Scholarship,Antonia Maria Casino and Antonio DuPont,0.03787878787878788,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
"Gladys Ruth Legacy ""Service"" Memorial Scholarship",Angela King,0.030303030303030304,2.5,3,1,2,0,0,1,3,0,1,0,0,1,0,0,0,0,0,6
Best Christian Colleges No-Essay Scholarship,Bold,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
Lori Nethaway Memorial Scholarship,Stacey Sprenkel,0.03727272727272727,0.0,3,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
Harry D Thompson Memorial Scholarship,Thomson,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
"""Equal Opportunity"" Scholarship",Calvin Rosser,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
Operation 11 Tyler Schaeffer Memorial Scholarship,Campbell,0.09090909090909091,0.0,3,0,2,0,0,0,3,2,1,0,0,0,0,1,0,0,0,2
Jorge A. Quizhpi Memorial Scholarship,Daisy Mogrovejo,0.015151515151515152,3.2,3,1,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Elijah's Helping Hand Scholarship Award,Sheehan,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Rita A. Clark Future Educator Award,Lynn Clark,0.016666666666666666,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Skip Veeder Memorial Scholarship,Veeder Tree Farm,0.015151515151515152,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,2
FLIK Hospitality Group's Entrepreneurial Council Scholarship,Flik Hospitality Group,0.6060606060606061,2.7,3,1,2,0,0,0,3,3,1,0,0,0,0,1,0,0,0,2
Xavier M. Monroe Heart of Gold Memorial Scholarship,Delta Beta Psi Sorority Inc,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Veterans Writing Group of San Diego Ernie Pyle Award,Veterans' Writing Group of San Diego Country,0.030303030303030304,2.0,3,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
Denise K. Emberton Memorial Scholarship,Gary Emberton,0.06060606060606061,3.5,3,1,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
831 Legacy Scholarship,Niko Ivanov,0.09090909090909091,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
Wellness Warriors Scholarship,Enso,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Career Search Scholarship,Realign Inc,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Mighty Memorial Scholarship,Chynenye Okonkwo,0.030303030303030304,2.8,3,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
William Griggs Memorial Scholarship for Science and Math,William Griggs,0.07575757575757576,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Brandon Tyler Castinado Memorial Scholarship,Timothy Hunter,0.10606060606060606,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Mark A. Jefferson Teaching Scholarship,Mark Jefferson,0.06060606060606061,2.8,3,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
Reach For Your Future Scholarship,Dawn Sabados,0.045454545454545456,0.0,3,0,1,0,0,0,3,2,1,1,0,0,0,0,0,0,0,3
STAR Scholarship - Students Taking Alternative Routes,Marie Duran,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Joieful Connections Scholarship,Joieful Connections,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
Jean Antoine Joas Scholarship,Jessica Joas,0.03484848484848485,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Koehler Family Trades and Engineering Scholarship,Koehler Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
Megan Springsteel Memorial Cosmetology Scholarship,Springsteel,0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,3
Dona Lupita Immigrant Scholarship,Masten-Villanueva,0.06060606060606061,0.0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
Graffiti Arts Scholarship,Mural Art & Consulting,0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Frederick J. Salone Memorial Scholarship,Salone,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Noble E. Gagucas Nursing Scholarship,Gagucas,0.030303030303030304,0.0,3,0,2,1,1,1,3,0,1,0,0,1,0,0,0,0,0,6
Tam and Betsy Vannoy Memorial Scholarship,Nancy Totten,0.10606060606060606,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
Female Startup Club Scholarship,Bold,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
SSG Adrian Valdez Jr. Memorial Scholarship,Valdez Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
Matthew J. Kauffman Memorial Scholarship,Kauffman Family,0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
Szilak Family Honorary Scholarship,Szilak Family,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Anderson Women's Rugby Scholarship,Heather Anderson,0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
Deborah Thomas Scholarship Award,27Strong,0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
