scholarship_program_name,promoter,funds,education_level,region,race,religion,major_study,gpa,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,enrollment_pattern,low_income,background,total_awardee,deadline,essay,funding_type,scholarship_status
Elevate Mental Health Awareness Scholarship,Calvin Rosser,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/30/2023,TRUE,Donor,Open
Be the Change Essay Scholarship,Paris Dimick,1000,Undergraduate,All USA States,,Public,Any,3.3,TRUE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,2,10/01/2023,TRUE,Donor,Open
Sharen and Mila Kohute Scholarship,Kohute Family,2000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,2,10/15/2023,TRUE,Donor,Open
Al-Haj Abdallah R Abdallah Muslim Scholarship,Abdallah,1000,Any,All USA States,,Islam,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Active in mosque,1,03/09/2024,TRUE,Donor,Open
"Jason L. Berry ""Art Is Life!"" Scholarship",Roberta Berry,575,Undergraduate,All USA States,BIPOC,Public,Art/Graphic Design,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,1,07/15/2023,TRUE,Donor,Open
ScholarshipOwl No-Essay Scholarship,Bold,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Brown Skin Agenda Aesthetics & Cosmetology Scholarship,Vitality Institute,10000,Any,All USA States,BIPOC,Public,Cosmetology/Esthetician,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Appalachian Region Vocational Scholarship,Daelyn Chaney,1000,High School-Undergraduate,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,01/11/2024,TRUE,Donor,Open
Heroes in High School Resilience Scholarship,Anthony Tran,800,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,08/11/2023,TRUE,Donor,Open
Cyrilla Olapeju Sanni Scholarship Fund,Cyrilla Olapeju Sanni Scholarship Fund,1000,Any,All USA States,African,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,African Imigrant,2,09/12/2023,TRUE,Donor,Open
"Richard ""88 Fingers"" Turner Jr. Music Scholarship",Tiffanie Turner,1000,Undergraduate,All USA States,African American,Public,Music,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/01/2023,TRUE,Donor,Open
Cardel Love Scholarship,Waynika Hall,500,Senior High School,All USA States,BIPOC,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,09/27/2023,TRUE,Donor,Open
CEW IV Foundation Scholarship Program,Clyde E. Woodroffe IV Foundation,500,High School-Undergraduate,All USA States,BIPOC,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Judy Fowler Memorial Scholarship,Fowler Family,900,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,TRUE,Donor,Open
Jacob Naumann Memorial Scholarship,Naumann Family,1000,Any,All USA States,,Public,Music,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/06/2023,TRUE,Donor,Open
Creative Arts Scholarship,The Studio LLC,3000,High School-Undergraduate,All USA States,,Public,Art,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,07/01/2023,TRUE,Donor,Open
Team Crosby Forever Veterinary Medicine Scholarship,Dennis Narlock,500,Undergraduate-Graduate,All USA States,,Public,Veterinary Medicine,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,09/01/2023,TRUE,Donor,Open
Kelly O. Memorial Nursing Scholarship,Kate Smith,3500,Any,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/01/2023,TRUE,Donor,Open
FocusIT's Women in IT Scholarship,focusIT,5000,Undergraduate,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/15/2023,TRUE,Donor,Open
Dark and Light Scholarship,Waynika Hall,500,Senior High School,All USA States,BIPOC,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,09/22/2023,TRUE,Donor,Open
Bernard W. Creque III Scholarship,Creque,2500,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Fallen soldier family,5,10/01/2023,TRUE,Donor,Open
Dylan's Journey Memorial Scholarship,Dylan Prosser,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Learning disability,1,03/21/2024,TRUE,Donor,Open
Rose Browne Memorial Scholarship for Nursing,Marie Browne-Lileika & Meredith Jose,500,Undergraduate-Graduate,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,09/01/2023,TRUE,Donor,Open
Joseph A. Venuti Marine Science & Conservation Scholarship,Boston Reefers Society,10000,Any,All USA States,,Public,Marine Science,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/01/2023,TRUE,Donor,Open
Boundless Scholarship,Griffin Furlong,2000,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Overcome adversity,2,07/01/2023,TRUE,Donor,Open
Maureen C. Pace Memorial Nursing Scholarship,The Pace Family,2000,Any,All USA States,,Public,Nursing,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/20/2023,TRUE,Donor,Open
Joshua A. Vaughn Memorial Scholarship,Jared Burton,500,Undergraduate,All USA States,BIPOC,Public,Criminal Justice,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,09/15/2023,TRUE,Donor,Open
Wieland Nurse Application Scholarship,Wieland Healthcare,2500,Any,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
I Can Do Anything Scholarship,The Scholarship Collective,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,10/01/2023,TRUE,Donor,Open
Samuel D. Hartley Memorial Scholarship,Hartley Family,500,Any,All USA States,,Public,Sport Golf,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/15/2023,TRUE,Donor,Open
Johnna's Legacy Memorial Scholarship,Living Chronic Faith,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Experience chronic medical condition,1,07/15/2023,TRUE,Donor,Open
Academic Liberty & Free Speech Scholarship,Gregory Price,1500,Undergraduate,All USA States,,Public,Liberal Arts/Social Science/Humanities,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,08/15/2023,TRUE,Donor,Open
Justice Adolpho A. Birch Jr. Scholarship,John Ferguson III (Trey),5000,Undergraduate-Graduate,All USA States,BIPOC,Public,Law School,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Trever David Clark Memorial Scholarship,The Dawson-Clark Family,8750,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Experience mental illness,6,11/15/2023,TRUE,Donor,Open
Stafford R. Ultsch Legacy Scholarship,Ultsch Family,1250,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Suicide survivor/suicidal,1,09/01/2023,TRUE,Donor,Open
Texas Women Empowerment,Pruett Family,6000,Any,All USA States,,Public,Pre-law/Political Science/Public Health,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,07/01/2023,TRUE,Donor,Open
Endeavor Design Scholarship,Thom Gridley,1865,Senior High School,All USA States,Black/African,Public,Design,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/16/2023,FALSE,Independent,Open
Ruth Hazel Scruggs King Scholarship,Run With Me Inc,2000,Senior High School,All USA States,,Public,Athlete,3.0,TRUE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering experience,4,07/27/2023,TRUE,Donor,Open
Vickie Drum Memorial Scholarship,David Cline,1500,Undergraduate,All USA States,,Public,Any,3.0,TRUE,Female,FALSE,FALSE,FALSE,Single mother,Traditional Student,FALSE,Female student with a child,1,06/01/2023,TRUE,Donor,Open
International Studies Scholarship,Gregory Price,2500,Any,All USA States,,Public,International studies,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,07/11/2023,TRUE,Donor,Open
Mrs. Yvonne L. Moss Scholarship,Marcus and Veronica Lockhart,2500,Senior High School,All USA States,,Public,South Oak Cliff High School,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Kate Szuberla Jauch Scholarship,Kathleen Gravelle,13540,Senior High School-Undergraduate,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,09/15/2023,TRUE,Donor,Open
Taylor Swift 1989 Scholarship,Bold,1989,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Swiftie,1,08/01/2023,TRUE,Donor,Open
La Santana Scholarship,Mango Street Dreaming,520,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Immigrant,1,07/15/2023,TRUE,Donor,Open
Dr. Rajesh Aggarwal Scholarship for Scientific Studies,The Aggarwal Family,3000,High School,All USA States,,Public,Science,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-Income,3,06/18/2023,TRUE,Donor,Open
Frank W. Steward Memorial Scholarship,Dr. Franshea Vandross,500,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,1,03/15/2024,TRUE,Donor,Open
Douglass M. Hamilton Memorial Scholarship,Michael Hamilton,15000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,2,06/30/2023,TRUE,Donor,Open
Anthony McPherson Memorial Automotive Scholarship,Denese McPherson,1800,High School-Undergraduate,All USA States,,Public,Automotive/Media Arts/Technology,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/05/2023,TRUE,Donor,Open
GIST College Sports Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Harvey and Geneva Mabry Second Time Around Scholarship,April Mabry,500,Undergraduate,All USA States,BIPOC,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,>= 30 years old/ Returning Student,2,08/11/2023,TRUE,Donor,Open
Macklin-McDowell Scholarship,Cheryl Berry,6200,Undergraduate,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Michigan State University student,2,08/01/2023,TRUE,Donor,Open
Humanize LLC Gives in Honor of Shirley Kelley Scholarship,Humanize LLC,600,Any,All USA States,Minority,Public,Any,0,FALSE,All gender,TRUE,FALSE,FALSE,Guardian parent,Traditional Student,FALSE,Raised by guardian parent,1,07/15/2023,TRUE,Donor,Open
Gabriel Martin Memorial Annual Scholarship,Robbie and Ginger Martin,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Medical condition,5,03/15/2024,TRUE,Donor,Open
Hester Richardson Powell Memorial Service Scholarship,Angela R. Powell,2500,Senior High School,All USA States,African American,Public,Any,2.7,TRUE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,5,02/28/2024,TRUE,Donor,Open
Integrity within Construction Scholarship,Renier Construction,2000,Senior High School-Undergraduate,All USA States,,Public,Construction,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/01/2023,TRUE,Donor,Open
Future of Service within the Automotive Industry Scholarship,Renier Construction,2000,Senior High School-Undergraduate,All USA States,,Public,Automotive industry-related,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/01/2023,TRUE,Donor,Open
Harry & Marry Sheaffer Scholarship,CM Global LLC,1000,Undergraduate,All USA States,,Public,Any,2.8,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,2,07/02/2023,TRUE,Donor,Open
Iftikhar Kamil Madni Science and Engineering Memorial Scholarship,Madni,1500,Undergraduate-Graduate,All USA States,,Public,Engineering/Science,3.75,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/02/2023,TRUE,Donor,Open
Alief Imagine Good Apple Scholarship,Anuj,5531,Senior High School,All USA States,,Public,Technology/Business,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,06/30/2023,TRUE,Donor,Open
A Courageous Spirit No-Essay Scholarship,Calvin Rosser,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/30/2023,FALSE,Donor,Open
A Daring Path No-Essay Scholarship,Calvin Rosser,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/30/2023,FALSE,Donor,Open
Isaac Yunhu Lee Memorial Arts Scholarship,Lee Family,25000,High School-Undergraduate,All USA States,,Public,Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,1,06/15/2023,TRUE,Donor,Open
Godi Arts Scholarship,Mark Godi,1000,Undergraduate,All USA States,,Public,Arts-Music/Visual Arts/Theatre,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Four-year student,1,11/15/2023,TRUE,Donor,Open
Cody Cochlin Memorial Scholarship,Jaedan Ford,1000,Undergraduate,All USA States,,Public,Rollerblading/Rollerskating/Snowboarding,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,1,06/01/2023,TRUE,Donor,Open
Rivera-Gulley First-Gen Scholarship Award,Rachel Gulley,1000,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation/Four-year student,1,07/07/2023,TRUE,Donor,Open
Ethan To Scholarship,Justin To & Ann Tran,2000,Undergraduate-Graduate,All USA States,,Public,Psychology/Counseling,3.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,2,02/16/2024,TRUE,Donor,Open
Star Farm Scholarship for LGBTQ+ Students,Star Farm,7500,Senior High School,All USA States,,Public,Any,0,FALSE,LGBTQ+,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,07/15/2023,TRUE,Donor,Open
"Hilliard L. ""Tack"" Gibbs Jr. Memorial Scholarship",Bertha Gibbs,1000,Senior High School-Undergraduate,All USA States,,Public,Science/Math,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,2,11/15/2023,TRUE,Donor,Open
Mental Health Importance Scholarship,Pettable,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,11/01/2023,TRUE,Donor,Open
Our Destiny Our Future Scholarship,OUR DESTINY OUR FUTURE FOUNDATION,3000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,3,06/30/2023,TRUE,Donor,Open
Maverick Scholarship,Carter McKinney Family,2000,Undergraduate,All USA States,,Public,Business,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Howard University students,2,08/01/2023,TRUE,Donor,Open
McDuffie Software Engineering Scholarship,McDuffie,2000,Undergraduate,All USA States,,Public,Computer Science,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Four-year student,2,07/15/2023,TRUE,Donor,Open
Dark Golden Memorial Scholarship,Shari Golden,950,Senior High School-Undergraduate,All USA States,,Public,Athlete,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,03/15/2024,TRUE,Donor,Open
Carole H. Beveridge Memorial Scholarship,Summer Cooke,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Working with animals,2,07/25/2023,TRUE,Donor,Open
Barbara Cain Literary Scholarship,Radtke Family,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Loves book,1,09/21/2023,TRUE,Donor,Open
Scholarship for Women Golfers,PrimePutt,1000,Any,All USA States,,Public,Golf,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,12/01/2023,TRUE,Donor,Open
Lost Dream Awaken Scholarship,Benjamin Bozworth,3000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,In recovery addiction,3,07/25/2023,TRUE,Donor,Open
Calvin C. Donelson Memorial Scholarship,Calvin C. Donelson Family,1000,Undergraduate,All USA States,,Public,Trade,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/27/2023,TRUE,Donor,Open
Henry Respert Alzheimer's and Dementia Awareness Scholarship,Shawn Respert,6000,Undergraduate,All USA States,,Public,Medical Reserach/Biomedical Science/Psychology/Neuroscience,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,08/01/2023,TRUE,Donor,Open
Charles Pulling Sr. Memorial Scholarship,Carrie Mochan,2000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,Non-traditional student,1,07/31/2024,TRUE,Donor,Open
Eco-Warrior Scholarship,HeySunday,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Intrigue in sustainability,1,12/01/2023,TRUE,Donor,Open
ALS Family Scholarship,ALS Family Scholarship,10000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,ALS survivor,5,07/15/2023,TRUE,Donor,Open
Carl's Music Matters Scholarship,Carl Adams,500,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Must be an aspiring musician,1,02/20/2024,TRUE,Donor,Open
Mark Neiswander 110 Memorial Scholarship,The Neiswander Family,5000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Leadership experience/Volunteering,1,06/01/2023,TRUE,Donor,Open
Colby R. Eggleston and Kyla Lee Entrepreneurship Award,Colby Eggleston,1000,High School-Undergraduate,All USA States,,Public,Entrepreneurship/Business,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,07/25/2023,TRUE,Donor,Open
Will Johnson Scholarship,Open Doors TN,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Disability,4,08/15/2023,TRUE,Donor,Open
Jorian Kuran Harris (Shug) Helping Heart Foundation Scholarship,Carleen Junior,650,Senior High School-Undergraduate,All USA States,,Public,Entrepreneurship/Business,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/23/2023,TRUE,Donor,Open
Sara Jane Memorial Scholarship,Whitt Family,2000,Senior High School-Undergraduate,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,1,08/15/2023,TRUE,Donor,Open
Stacy T. Mosley Jr. Educational Scholarship,Stephen Mosley,1000,Senior High School-Undergraduate,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,HBCU students,1,06/30/2023,TRUE,Donor,Open
DV Awareness Scholarship in Memory,Melissa Gillispie,1000,Any,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,07/05/2023,TRUE,Donor,Open
Environmental Kindness Scholarship,Melissa Myers,500,Any,All USA States,,Public,Environtmental studies,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/22/2023,TRUE,Donor,Open
McClendon Leadership Award,Agodtis McClendon,1000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,2,11/01/2023,TRUE,Donor,Open
John F. Puffer Sr. Smile Scholarship,Puffer Family,1000,Senior High School,All USA States,,Public,Any,2.8,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Exemplifies S.M.I.L.E,1,07/20/2023,TRUE,Donor,Open
Charles B. Barzelton Memorial Scholarship,Zennetta Brazelton,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Extracurricular activities,1,06/25/2023,TRUE,Donor,Open
HBCU STEM Scholarship,Chrispin Rainford,5000,Undergraduate,All USA States,,Public,STEM,3.0,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,Low-income/First-generation/HBCU students,1,07/01/2023,TRUE,Donor,Open
Julie Madison Memorial Art Scholarship,The Mills & Madison Family,1136,Any,All USA States,,Public,Arts/Design/Photography,0,FALSE,All gender,FALSE,FALSE,FALSE,Single parent family,Traditional Student,FALSE,None,1,08/01/2023,TRUE,Donor,Open
G.H. DePriest Memorial Scholarship,Booklt4Life Children's Book & Social Club,500,Senior High School-Undergraduate,All USA States,,Public,Education/Psychology,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/18/2023,TRUE,Donor,Open
Andrea Claire Matason Memorial Scholarship,The Matason Family,1000,Senior High School-Undergraduate,All USA States,,Public,Veterinary,0,FALSE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,2,05/21/2023,TRUE,Donor,Open
Lillian's & Ruby's Way Scholarship,Lillian's & Ruby's Way LLC,750,Senior High School,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/25/2023,TRUE,Donor,Open
